id,name,album,release_date,popularity,groovy_factor,raw_energy
14uQWXYRflpBP8J6olZ8mH,Gimme Shelter - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,49,0.33269000000000004,0.07880960533333332
5fXRPS1tp70DbqsBZVyG4e,Happy,Exile On Main Street (Deluxe Version),1972-05-12,49,0.535575,0.45299420920000005
0SojSZcka4j8l8Sl0W9jUZ,Rip This Joint,Exile On Main Street (2010 Re-Mastered),1972-05-12,49,0.49648800000000004,0.27242498639999996
0lO9vvpJdd2ZNAq61ga9wy,Doom And Gloom,Honk (Deluxe),2019-04-19,49,0.47841300000000003,0.13380095069999998
2StkuotzPgX5FpSjMpTvlw,Harlem Shuffle - Remastered 2009,Dirty Work (Remastered 2009),1986-03-24,49,0.580244,0.2824431316666667
4MhlFfh4pa2rONBQmh6RpH,Anybody Seen My Baby?,Bridges To Babylon,1997-09-29,48,0.300479,0.17197628645000002
3tIvHt7VaIenprWXrYzgwb,Midnight Rambler,Let It Bleed,1969-12-05,48,0.20633600000000002,0.09050450033333335
4OSZGBSgURF74RO0dRA8HY,Far Away Eyes - Remastered,Some Girls,1978-06-09,46,0.46023,0.13473331849999998
1ZS5HBMAmZk3gjFcedts66,Sway - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,46,0.17820000000000003,0.34425458999999997
4TXvJz4TmRI9Bzy4VWNUjl,Miss You,Honk (Deluxe),2019-04-19,46,0.658226,0.11704777183333331
5RFYhFsx88Ged9UNmv5ORj,Out Of Time,Aftermath (UK Version),1966-04-15,46,0.46036499999999997,0.0678340696
5pTWpY8l7B1XcQnijEFGFj,Miss You - Remastered,Some Girls (Deluxe Version),1978-06-09,46,0.671775,0.22492061599999996
1d7IQjawp6lLUcbarurQ31,(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads (US Sequence),1965-07-30,45,0.674044,0.07961901149999999
1UXII0VskNcRP9rJKfeggC,Streets Of Love - Remastered 2009,A Bigger Bang (2009 Re-Mastered),2005-09-05,45,0.092442,0.36097856325000005
3GgpUEdSy8uO58XG35rRho,Little Red Rooster - Mono Version,"The Rolling Stones, Now!",1965-02-13,45,0.485954,0.03377588544
7lJt7vBDNUO8Mv8uELND1H,Sympathy For The Devil,Beggars Banquet,1968-12-06,45,0.386246,0.0236093895
500cBxmsfXyCUB081x39co,She’s A Rainbow - Remastered 2017 / Stereo,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,45,0.27028,0.30448792350000004
6fKQblT3h0U2ydiDbnsyfa,Mixed Emotions,Steel Wheels (Remastered 2009),1989-08-29,45,0.40968299999999996,0.737182594
2jaN6NgXflZTj2z9CWcqaP,Time Is On My Side - Mono Version,The Rolling Stones No. 2,1965-01-15,45,0.20929599999999998,0.05864894700000001
