id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1ZS5HBMAmZk3gjFcedts66,0.221,0.33,0.895,0.737,0.408,-3.435,0.0399,144.945,0.54
4TXvJz4TmRI9Bzy4VWNUjl,0.397,0.794,0.71,0.0141,0.179,-4.741,0.039,109.685,0.829
5RFYhFsx88Ged9UNmv5ORj,0.663,0.653,0.618,0.0,0.134,-10.852,0.0744,126.73,0.705
5pTWpY8l7B1XcQnijEFGFj,0.443,0.795,0.71,0.0215,0.344,-4.746,0.0392,109.689,0.845
1d7IQjawp6lLUcbarurQ31,0.0353,0.724,0.865,0.064,0.106,-7.899,0.0334,136.296,0.931
1UXII0VskNcRP9rJKfeggC,0.0416,0.434,0.603,6.44e-06,0.653,-4.995,0.0312,81.755,0.213
3GgpUEdSy8uO58XG35rRho,0.0674,0.721,0.432,0.0321,0.0971,-11.688,0.0411,109.373,0.674
7lJt7vBDNUO8Mv8uELND1H,0.604,0.658,0.675,0.0,0.0428,-10.967,0.242,115.574,0.587
500cBxmsfXyCUB081x39co,0.547,0.466,0.81,0.017,0.431,-7.669,0.0411,109.16,0.58
6fKQblT3h0U2ydiDbnsyfa,0.0995,0.493,0.956,0.000295,0.83,-4.257,0.0429,137.091,0.831
2jaN6NgXflZTj2z9CWcqaP,0.291,0.508,0.645,3.25e-06,0.107,-9.012,0.0395,99.302,0.412
7K3rmA4f6NEElsxKEOOt8H,0.132,0.53,0.888,0.0321,0.425,-5.128,0.0282,136.123,0.833
19kAUW6NMzgDHKT19s7782,0.516,0.6,0.303,0.000123,0.0832,-16.408,0.0318,102.998,0.31
3HNLA3ooLBSudG98ZVUuIZ,0.00908,0.474,0.857,0.00278,0.193,-5.36,0.0356,127.003,0.727
5HcTLesmMaPr0CkwdbtK0o,0.0299,0.461,0.906,0.0104,0.319,-4.369,0.0356,152.206,0.939
2ZNEcJ6jJAN9PiN8paKhoK,0.527,0.43,0.396,0.000101,0.143,-11.915,0.0295,138.241,0.429
4s8wL4SxEmAEd6XO9mi1Pn,0.343,0.229,0.83,0.0,0.0712,-7.591,0.139,216.304,0.423
6fLTxkL2wgC40fBM6IIe7r,0.0239,0.603,0.689,3.27e-06,0.33,-10.729,0.0304,99.088,0.761
49ScE2M6RIqfeHnnP4v94B,0.536,0.302,0.275,0.00959,0.118,-12.281,0.0306,182.368,0.293
0JTrB3fXGdyGcwxFFECsm1,0.000947,0.501,0.789,0.0361,0.267,-3.633,0.0372,126.253,0.653
4cYixasStbsXGnhyKxHEFN,0.325,0.742,0.56,0.0378,0.538,-7.905,0.0424,122.202,0.715
2iZEOHx7XZGZUglo3gI9a7,0.00164,0.424,0.555,0.0243,0.462,-5.45,0.0408,122.232,0.31
1XaL1OWGibGlPqLUW9MnCX,0.0943,0.395,0.579,0.0925,0.176,-7.565,0.0341,90.443,0.218
6OEpSYq8wdqnl01hsoQGQY,0.0049,0.671,0.918,0.0443,0.0895,-5.775,0.0504,121.541,0.494
3pQXptTkIkOQsK3pyYlRbJ,0.527,0.474,0.938,0.52,0.299,-2.643,0.0898,71.995,0.505
6WvgizUMVUdPksmm7BMfnm,0.467,0.442,0.382,0.0216,0.121,-5.295,0.0317,119.947,0.199
7tDAK4ffhC6ye1dkdObSbR,0.0176,0.214,0.943,0.000251,0.953,-3.932,0.118,205.526,0.333
74mpiRPDd2rFeBR1Yl60I3,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79
0oM5Z3MGSOieWT6ObRQ2Uj,0.115,0.564,0.862,0.308,0.0493,-6.398,0.0428,133.242,0.847
3eA4BsdUxUqiFQMVzJSA5u,0.641,0.332,0.652,6.4e-05,0.122,-9.099,0.0588,90.184,0.515
3u28KPrRmJiNC39Fm3tZVe,0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,180.496,0.763
2r41JRUZ5Cjcx98ARVI0vo,0.275,0.648,0.815,0.000193,0.076,-5.391,0.0232,102.259,0.759
3Nzr5sukBwt2dOfXFRXX3Z,0.14,0.508,0.949,0.0149,0.376,-4.203,0.0866,116.004,0.726
5GHKbjIY0gTCqoY5aruDDc,0.39,0.519,0.973,0.978,0.784,-3.044,0.0562,140.221,0.822
7CYSvrgGAee411gyGZ29PA,0.0434,0.632,0.918,0.112,0.0812,-4.717,0.037,122.412,0.971
40uqC6osBbNPm4jEN3OsAl,0.123,0.452,0.99,0.884,0.0677,-2.823,0.0524,152.111,0.875
1TJyjAa6rHkEZZpRS41rUp,0.171,0.441,0.488,2.24e-05,0.112,-6.404,0.0307,136.956,0.397
3mP4j0qZkutkxDN4zgbtnA,0.378,0.388,0.472,0.000934,0.135,-7.121,0.0285,144.354,0.137
7w2s5Wj0LPNhUkVCt8av09,0.452,0.452,0.908,0.279,0.318,-2.535,0.0567,112.872,0.792
2u63axjx9VKmFfQNqmpi8a,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,76.121,0.363
05BcisbhFsmVpTZ0kGD7gK,0.636,0.471,0.843,0.0402,0.773,-5.702,0.041,156.695,0.632
58TvHfaC4Hvf8IfkxT9BFq,0.732,0.409,0.799,0.765,0.644,-4.333,0.0483,124.334,0.624
2kNr8K2GKAmzJHNWO7iJUF,0.329,0.547,0.903,0.216,0.388,-3.832,0.0579,116.152,0.842
6ttUD7vz01HOy3hm9Kq3t5,0.454,0.781,0.844,0.00368,0.0518,-4.754,0.0305,100.709,0.902
4GNEqWXhKEoMyL3k5wF0r7,0.278,0.371,0.482,0.00468,0.116,-11.795,0.0355,184.36,0.295
2pbHaKsIRuIqjZHCLpyQMv,0.756,0.471,0.371,0.0272,0.137,-11.123,0.0423,143.892,0.543
4N8oxV3hvn8Efyo4yxp3LG,0.0272,0.603,0.973,0.00731,0.472,-4.454,0.176,122.756,0.408
0C7w4XnkIGu11MpNWbiTLB,0.00661,0.75,0.826,0.63,0.153,-9.992,0.0472,113.294,0.896
5SiCTf5r1cVjQXAXB2StpS,0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,90.677,0.776
0kesmP5jKuavoUDwuoMG3l,0.108,0.599,0.715,4.75e-05,0.0834,-7.107,0.0429,80.541,0.714
6GpoY3iuHJY7fcyonia60B,0.455,0.617,0.905,0.578,0.289,-4.585,0.0351,110.957,0.787
0mynYmSfl8q2KhjSp96G3w,0.0031,0.349,0.831,0.00916,0.0882,-6.425,0.0514,104.747,0.428
19c71wg1nEvMUtuaQc992j,0.142,0.723,0.606,6.87e-06,0.089,-4.568,0.0359,75.028,0.296
0rucXTNGt4BHpAjNR5d0UF,0.361,0.555,0.897,0.94,0.536,-3.469,0.0293,131.712,0.965
0mobySzkSudnm0PdUcOSWq,0.242,0.376,0.478,0.0089,0.117,-11.317,0.0374,182.535,0.289
744hdHz3CORMz3FcU230C4,0.783,0.357,0.62,3.52e-06,0.15,-6.03,0.0353,81.346,0.38
2aBM9gLAhJgaUIo7HVZ75j,0.00101,0.649,0.744,0.616,0.0758,-8.279,0.0279,136.687,0.77
2aQHcpFfrUoTc9CtxPGotZ,0.0148,0.679,0.697,0.0119,0.124,-5.369,0.0454,110.558,0.776
0EJCZM5mVoJjA1MxcoZE6O,0.399,0.418,0.828,0.669,0.146,-5.173,0.122,184.436,0.376
4uhJps8XVlPZbdI5ZArAUO,0.724,0.439,0.422,0.203,0.152,-8.384,0.0312,70.283,0.564
