name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Shake Your Hips,Exile On Main Street (Deluxe Version),1972-05-12,3JhfyWKIYR3opA4DpHxP1w,0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,180.496,0.763,31,179000,False,instrumentalness
Sympathy For The Devil - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,1hVWTQ5CZermtPzIaLJOzd,0.0167,0.587,0.833,0.588,0.839,-7.333,0.069,112.586,0.748,31,411866,False,instrumentalness
Honest I Do,The Rolling Stones,1964-04-16,22Bvku5X3odiXj2wbtgY4T,0.151,0.646,0.374,0.651,0.208,-10.706,0.103,87.593,0.475,31,129800,False,instrumentalness
Jumpin' Jack Flash - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,3gwX9fGKdFczJwJK2MtvbL,0.0325,0.443,0.884,0.679,0.978,-9.083,0.049,137.62,0.616,31,243133,False,instrumentalness
Sad Sad Sad - Remastered,Steel Wheels (Remastered 2009),1989-08-29,7FADg5WNyvzaVtMhMpfW0X,0.0105,0.396,0.993,0.533,0.579,-3.815,0.0797,152.268,0.531,31,215693,False,instrumentalness
Ventilator Blues,Exile On Main Street (Deluxe Version),1972-05-12,4qI7G7K9MNbekIXmCI3m18,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79,30,204573,False,instrumentalness
Down In The Hole - Remastered,Emotional Rescue (2009 Re-Mastered),1980-06-20,7m8ho2ixAYs30dPdZ9i0BV,0.0119,0.293,0.712,0.902,0.348,-6.122,0.0908,186.898,0.249,30,238093,False,instrumentalness
Let It Loose,Exile On Main Street (Deluxe Version),1972-05-12,7D2f7zoIwRxeIhmeer8aWm,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,76.121,0.363,30,317173,False,instrumentalness
I'm Alright - Live,Out Of Our Heads,1965-07-30,48qISZnlpVboOBRAiaudbS,5.81e-05,0.426,0.824,0.716,0.946,-9.782,0.0502,118.944,0.612,29,143586,False,instrumentalness
Down Home Girl,The Rolling Stones No. 2,1965-01-15,1oRP1QanjB3pBehwJSm6JM,0.624,0.663,0.785,0.695,0.0779,-8.146,0.027,115.811,0.847,29,251746,False,instrumentalness
Now I've Got A Witness,The Rolling Stones,1964-04-16,6QswKScFURI1x3gZ9isXK7,0.0375,0.666,0.682,0.912,0.256,-7.789,0.0298,97.849,0.953,29,151813,False,instrumentalness
Can You Hear The Music - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,6B8czH1kJLkcihMhFdr6Xp,0.733,0.322,0.69,0.554,0.61,-6.672,0.032,73.279,0.492,29,331706,False,instrumentalness
(I Can't Get No) Satisfaction - Live,Havana Moon (Live),2016-11-11,6x7XTxs6pE1OuimqK7JJ7p,0.0149,0.341,0.974,0.633,0.345,-4.155,0.0848,131.156,0.321,28,628947,False,instrumentalness
Honky Tonk Women - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,40N7vAFHhwuS92Ce66mkpw,0.0389,0.412,0.79,0.532,0.737,-8.142,0.0499,114.056,0.802,28,214273,False,instrumentalness
2120 South Michigan Avenue - Long Version,12 X 5,1964-10-17,4KoBKbnRh4BywqvY5VPkts,0.00137,0.609,0.585,0.876,0.0819,-13.173,0.0305,147.176,0.825,28,218466,False,instrumentalness
Jumpin' Jack Flash - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,6zlcTvYvUXdGTpvOV3aCnu,0.0321,0.44,0.886,0.677,0.978,-9.092,0.0498,137.722,0.625,28,243133,False,instrumentalness
Dancing With Mr. D,Honk (Deluxe),2019-04-19,52TCAgRsrFAiBDNNf09eJI,0.523,0.56,0.9,0.733,0.22,-5.121,0.0352,106.11,0.89,28,293253,False,instrumentalness
All Down The Line,Exile On Main Street (Deluxe Version),1972-05-12,2tPYeRNVROwJpG7tOHXJTZ,0.39,0.519,0.973,0.978,0.784,-3.044,0.0562,140.221,0.822,28,229493,False,instrumentalness
Carol - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,0aA3w0aYq7PcQSXOTbMzXz,0.244,0.607,0.897,0.593,0.99,-7.715,0.0383,138.05,0.915,27,226480,False,instrumentalness
Little Queenie - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,3bqamFs488lwGdpf6TCYAr,0.149,0.506,0.812,0.793,0.666,-6.879,0.0389,124.917,0.964,27,273266,False,instrumentalness
